time,index
Q4 2006,9100.382788
Q1 2007,9284.939724
Q2 2007,9615.834974
Q3 2007,9738.562941
Q4 2007,9729.467344
Q1 2008,9486.397453
Q2 2008,9229.958163
Q3 2008,8736.710162
Q4 2008,8294.509098
Q1 2009,7918.019052
Q2 2009,8148.452964
Q3 2009,8470.688296
Q4 2009,8574.215628
Q1 2010,8614.985036
Q2 2010,8923.443806
Q3 2010,8851.24438
Q4 2010,8619.446807
Q1 2011,8588.112726
Q2 2011,8820.027702
Q3 2011,8811.194041
Q4 2011,8715.356679
Q1 2012,8606.255136
Q2 2012,8724.35372
Q3 2012,8669.111645
Q4 2012,8616.944396
Q1 2013,8623.909935
Q2 2013,8848.090458
Q3 2013,9039.7
Q4 2013,9226.251506
Q1 2014,9420.9
Q2 2014,9866.210752
Q3 2014,9986.053154
Q4 2014,9996.169184
Q1 2015,9973.109673
Q2 2015,10274.18348
Q3 2015,10352.16758
Q4 2015,10421.52567
Q1 2016,10501.94076
Q2 2016,10802.02016
Q3 2016,10913.50057
Q4 2016,10891.87128
Q1 2017,10930.40387
Q2 2017,11105.24153
Q3 2017,11195.1778
Q4 2017,11182.53739
Q1 2018,11201.55277
Q2 2018,11348.91153
Q3 2018,11429.52216
Q4 2018,11327.75009
Q1 2019,11249.24019
Q2 2019,11419.3149
Q3 2019,11466.69344
Q4 2019,11420.12126
Q1 2020,11525.15205
Q2 2020,11642.7
Q3 2020,11865.01321
Q4 2020,12154.96224
Q1 2021,12251.50251
Q2 2021,12836.71209
Q3 2021,13091.96316
Q4 2021,13386.96541
